"id","glytoucan","taxon","resource","resource_id"
"475","G00031MO","9606","carbbank","30735"
"5230","G64982CZ","9606","carbbank","30736"
"316","G58645HA","9606","carbbank","30737"
"1045","G44489BZ","9606","carbbank","30738"
"552","G75789AR","9606","carbbank","30739"
"3178","G55051BJ","9606","carbbank","3074"
"1903","G56478LD","9606","carbbank","30740"
"11755","G11356UZ","9606","carbbank","30741"
"1850","G70647TI","9606","carbbank","30742"
"146","G91237TK","9606","carbbank","30743"
"115","G65889KE","240005","carbbank","30745"
"9456","G36484TL","240005","carbbank","30745"
"12270","G16362PM","4113","carbbank","30746"
"7696","G92501LD","9823","carbbank","3075"
"4013","G03674DI","55960","carbbank","30751"
"12274","G18680TQ","4109","carbbank","30752"
"12274","G18680TQ","4108","carbbank","30752"
"12410","G65744II","41780","carbbank","30753"
"269","G09183JD","41780","carbbank","30754"
"12410","G65744II","41780","carbbank","30754"
"56","G71142DF","41780","carbbank","30755"
"7030","G61402FD","41780","carbbank","30755"
"269","G09183JD","41780","carbbank","30756"
"7030","G61402FD","41780","carbbank","30756"
"7030","G61402FD","41780","carbbank","30757"
"269","G09183JD","41780","carbbank","30758"
"2741","G83179DA","41780","carbbank","30758"
"2309","G64814RA","41780","carbbank","30759"
"2741","G83179DA","41780","carbbank","30759"
"269","G09183JD","41780","carbbank","30760"
"2741","G83179DA","41780","carbbank","30760"
"2309","G64814RA","41780","carbbank","30761"
"2741","G83179DA","41780","carbbank","30761"
"552","G75789AR","9796","carbbank","30773"
"15872","G36006TS","9606","carbbank","30774"
"15635","G19059PI","9606","carbbank","30775"
"16299","G46473CN","9606","carbbank","30776"
"16300","G93670TR","9606","carbbank","30777"
"16301","G94436UW","9606","carbbank","30778"
"16302","G78470OF","9606","carbbank","30779"
"4845","G65940AR","570","carbbank","3078"
"16303","G28216WN","9606","carbbank","30780"
"1277","G34463WT","9925","carbbank","30783"
"9135","G86570PT","9925","carbbank","30784"
"476","G57321FI","9606","carbbank","30785"
"234","G55220VL","3847","carbbank","30787"
"458","G65562ZE","10029","carbbank","30790"
"458","G65562ZE","4932","carbbank","30790"
"129","G00054MO","10029","carbbank","30795"
"612","G78074HX","10114","carbbank","308"
"182","G36191CD","93934","carbbank","30805"
"13408","G52934AK","93934","carbbank","30806"
"9167","G72718TT","93934","carbbank","30807"
"8759","G11535IB","93934","carbbank","30808"
"2277","G59471TH","93934","carbbank","30809"
"2622","G25520XG","93934","carbbank","30810"
"2971","G71013KY","93934","carbbank","30811"
"2941","G85767HW","93934","carbbank","30812"
"2972","G30159WR","93934","carbbank","30813"
"1858","G66937TJ","93934","carbbank","30814"
"3889","G18948TG","93934","carbbank","30815"
"274","G31262MM","286","carbbank","30823"
"274","G31262MM","286","carbbank","30824"
"2312","G29046HX","8717","carbbank","30829"
"558","G78861IX","8717","carbbank","30830"
"9169","G17385IZ","8717","carbbank","30831"
"118","G84224TW","10090","carbbank","30832"
"115","G65889KE","10090","carbbank","30833"
"120","G00059MO","10090","carbbank","30834"
"1299","G80062GG","10090","carbbank","30835"
"588","G00061MO","10090","carbbank","30836"
"56","G71142DF","10090","carbbank","30837"
"10311","G67059BJ","9606","carbbank","30838"
"10314","G06862BZ","9606","carbbank","30839"
"10315","G79691MO","9606","carbbank","30840"
"4408","G30518LL","4097","carbbank","3085"
"1553","G82053RU","4097","carbbank","3085"
"1053","G19949UL","9940","carbbank","3087"
"118","G84224TW","9615","carbbank","30871"
"118","G84224TW","9606","carbbank","30871"
"612","G78074HX","9615","carbbank","30872"
"133","G90562PB","9606","carbbank","30873"
"64","G21856LC","10090","carbbank","30874"
"549","G57920AK","10090","carbbank","30875"
"15872","G36006TS","9606","carbbank","30876"
"2589","G02086TB","9606","carbbank","30877"
"1189","G13947MP","8839","carbbank","30878"
"1069","G62167DK","8839","carbbank","30879"
"1968","G86459PH","9940","carbbank","3088"
"1094","G19083SI","8839","carbbank","30880"
"1096","G83131MU","8839","carbbank","30881"
"1103","G25162JS","8839","carbbank","30882"
"9178","G72587UU","8839","carbbank","30883"
"9179","G27995KI","8839","carbbank","30884"
"1106","G10805TH","8839","carbbank","30885"
"1110","G85843WY","8839","carbbank","30886"
"1132","G16717IV","8839","carbbank","30887"
"1147","G55302WQ","8839","carbbank","30888"
"1098","G74459BD","8839","carbbank","30889"
"239","G70884XK","9606","carbbank","3089"
"1112","G21251LN","8839","carbbank","30890"
"9099","G39623FZ","8839","carbbank","30891"
"9180","G10270EI","8839","carbbank","30892"
"1070","G19894RH","8839","carbbank","30893"
"1886","G21969LH","8839","carbbank","30894"
"1095","G09362PR","8839","carbbank","30895"
"899","G16235VG","40041","carbbank","30896"
"899","G16235VG","9606","carbbank","30896"
"899","G16235VG","9031","carbbank","30896"
"140","G79389NT","9913","carbbank","30897"
"143","G91532KA","9823","carbbank","30898"
"124","G48558GR","9913","carbbank","30899"
"612","G78074HX","10114","carbbank","309"
"15872","G36006TS","9823","carbbank","30900"
"15635","G19059PI","9913","carbbank","30901"
"553","G40269CS","10029","carbbank","30911"
"553","G40269CS","9606","carbbank","30911"
"554","G84906ML","10029","carbbank","30913"
"554","G84906ML","9606","carbbank","30913"
"9188","G09859LE","9606","carbbank","30915"
"9187","G08465VN","9606","carbbank","30916"
"475","G00031MO","10029","carbbank","30917"
"476","G57321FI","10029","carbbank","30918"
"8298","G69334NJ","9823","carbbank","30932"
"1024","G46248YV","10090","carbbank","30935"
"3251","G65414VM","9913","carbbank","30936"
"3252","G16348RE","9913","carbbank","30937"
"3254","G55487DR","9913","carbbank","30938"
"3265","G79215KX","9913","carbbank","30939"
"2648","G87514QJ","9913","carbbank","30940"
"3260","G27384IP","9913","carbbank","30941"
"3246","G38641UG","9913","carbbank","30942"
"3247","G54344GJ","9913","carbbank","30943"
"3257","G75339KH","9913","carbbank","30944"
"3255","G00705XW","9913","carbbank","30945"
"3262","G23126IF","9913","carbbank","30946"
"3267","G30519DD","9913","carbbank","30947"
"3256","G48178AY","9913","carbbank","30948"
"3268","G02126PG","9913","carbbank","30949"
"3520","G81262LV","544","carbbank","3095"
"3263","G63748AU","9913","carbbank","30950"
"3248","G60538YY","9913","carbbank","30951"
"3249","G21218BF","9913","carbbank","30952"
"3269","G63150NE","9913","carbbank","30953"
"3250","G61245NC","9913","carbbank","30954"
"4252","G64840LU","676","carbbank","30955"
"8289","G05410WY","9823","carbbank","30957"
"8297","G50254UQ","9823","carbbank","30958"
"8288","G11078XZ","9823","carbbank","30959"
"4942","G41324XC","630","carbbank","3096"
"4743","G91650XL","21880","carbbank","30960"
"7549","G34569IX","5063","carbbank","30961"
"954","G97547WF","9031","carbbank","30967"
"11070","G26184ON","4932","carbbank","30968"
"11069","G64010HG","4932","carbbank","30969"
"2449","G61094XY","9823","carbbank","30973"
"8291","G83808HF","9823","carbbank","30975"
"447","G26424YB","9823","carbbank","30976"
"12155","G74226ZA","29667","carbbank","30977"
"12156","G12469CG","29667","carbbank","30978"
"12157","G49163YR","29667","carbbank","30979"
"12419","G35079FL","454322","carbbank","30981"
"56","G71142DF","454322","carbbank","30981"
"8110","G16165AD","9823","carbbank","30983"
"8290","G91322OS","9823","carbbank","30987"
"2261","G84556IB","9913","carbbank","30990"
"2262","G09741DV","9913","carbbank","30991"
"2263","G41181ZG","9913","carbbank","30992"
"15635","G19059PI","9606","carbbank","30993"
"15636","G34992DF","9606","carbbank","30994"
"15518","G81167ZQ","9823","carbbank","30995"
"8838","G86914AE","9913","carbbank","30996"
"8838","G86914AE","9823","carbbank","30996"
"8838","G86914AE","9606","carbbank","30996"
"656","G26089XS","562","carbbank","30997"
"899","G16235VG","9031","carbbank","30998"
"34303","G36492NB","9913","carbbank","30999"
"8840","G53347XD","9606","carbbank","31000"
"8605","G92101NE","9606","carbbank","31001"
"8606","G90081OR","9606","carbbank","31002"
"8841","G62866HT","9606","carbbank","31003"
"8842","G76225JQ","9606","carbbank","31004"
"8843","G42482KG","9606","carbbank","31005"
"8844","G42779AL","9606","carbbank","31006"
"4707","G76292WC","9606","carbbank","31007"
"16307","G63539AZ","9606","carbbank","31008"
"8845","G73839CW","9606","carbbank","31009"
"8846","G90238QO","9606","carbbank","31010"
"8847","G48714ZW","9606","carbbank","31011"
"8848","G68560PY","9606","carbbank","31012"
"8849","G69627PQ","9606","carbbank","31013"
"8850","G61049GY","9606","carbbank","31014"
"8851","G05786ES","9606","carbbank","31015"
"8124","G61692RF","9606","carbbank","31016"
"8852","G33135KB","9606","carbbank","31017"
"8853","G61809IS","9606","carbbank","31018"
"8854","G87064NW","9606","carbbank","31019"
"1455","G60527VO","9606","carbbank","31020"
"954","G97547WF","9913","carbbank","31026"
"1014","G02133IK","9913","carbbank","31027"
"1017","G93597JV","9913","carbbank","31028"
"968","G66921SR","10090","carbbank","31043"
"1188","G14469GR","9606","carbbank","31045"
"8867","G32672EX","9823","carbbank","31049"
"8877","G06019FB","9823","carbbank","31050"
"8878","G55114VC","9823","carbbank","31051"
"8875","G46837JE","9823","carbbank","31052"
"8876","G70566BD","9823","carbbank","31053"
"8869","G69742BN","9823","carbbank","31054"
"1519","G99832YO","9823","carbbank","31055"
